year,ari_design,duration,n_exceedances
1949,25,24hr,1
1950,25,24hr,1
1951,25,24hr,1
1952,25,24hr,0
1953,25,24hr,2
1954,25,24hr,0
1955,25,24hr,0
1956,25,24hr,0
1957,25,24hr,0
1958,25,24hr,0
1959,25,24hr,0
1960,25,24hr,4
1961,25,24hr,0
1962,25,24hr,2
1963,25,24hr,0
1964,25,24hr,0
1965,25,24hr,0
1966,25,24hr,0
1967,25,24hr,0
1968,25,24hr,0
1969,25,24hr,0
1970,25,24hr,0
1971,25,24hr,0
1972,25,24hr,0
1973,25,24hr,0
1974,25,24hr,1
1975,25,24hr,0
1976,25,24hr,0
1977,25,24hr,0
1978,25,24hr,0
1979,25,24hr,3
1980,25,24hr,0
1981,25,24hr,0
1982,25,24hr,1
1983,25,24hr,1
1984,25,24hr,0
1985,25,24hr,0
1986,25,24hr,0
1987,25,24hr,0
1988,25,24hr,2
1989,25,24hr,0
1990,25,24hr,0
1991,25,24hr,0
1992,25,24hr,1
1993,25,24hr,0
1994,25,24hr,0
1995,25,24hr,0
1996,25,24hr,0
1997,25,24hr,3
1998,25,24hr,1
1999,25,24hr,0
2000,25,24hr,0
2001,25,24hr,0
2002,25,24hr,0
2003,25,24hr,0
2004,25,24hr,0
2005,25,24hr,0
2006,25,24hr,1
2007,25,24hr,0
2008,25,24hr,0
2009,25,24hr,0
2010,25,24hr,0
2011,25,24hr,0
2012,25,24hr,2
2013,25,24hr,0
2014,25,24hr,0
2015,25,24hr,0
2016,25,24hr,0
2017,25,24hr,4
2018,25,24hr,0
2019,25,24hr,0
2020,25,24hr,0
2021,25,24hr,1
2022,25,24hr,2
2023,25,24hr,0
2024,25,24hr,6
2025,25,24hr,0
1900,50,24hr,0
1901,50,24hr,0
1902,50,24hr,0
1903,50,24hr,1
1904,50,24hr,0
1905,50,24hr,0
1906,50,24hr,0
1907,50,24hr,0
1908,50,24hr,0
1909,50,24hr,1
1910,50,24hr,0
1911,50,24hr,0
1912,50,24hr,0
1913,50,24hr,0
1914,50,24hr,0
1915,50,24hr,1
1916,50,24hr,0
1917,50,24hr,0
1918,50,24hr,0
1919,50,24hr,0
1920,50,24hr,0
1921,50,24hr,1
1922,50,24hr,0
1923,50,24hr,0
1924,50,24hr,0
1925,50,24hr,0
1926,50,24hr,0
1927,50,24hr,0
1928,50,24hr,0
1929,50,24hr,0
1930,50,24hr,0
1931,50,24hr,0
1932,50,24hr,0
1933,50,24hr,2
1934,50,24hr,1
1935,50,24hr,0
1936,50,24hr,0
1937,50,24hr,0
1938,50,24hr,0
1939,50,24hr,0
1940,50,24hr,0
1941,50,24hr,0
1942,50,24hr,0
1943,50,24hr,0
1944,50,24hr,0
1945,50,24hr,4
1946,50,24hr,0
1947,50,24hr,1
1948,50,24hr,0
1949,50,24hr,0
1950,50,24hr,0
1951,50,24hr,0
1952,50,24hr,0
